task,model,signal,metric,value
gsm8k,vllm/g3-12i,constant,auroc,nan
gsm8k,vllm/g3-12i,constant,cal_brier,0.07208500000000001
gsm8k,vllm/g3-12i,constant,cal_ece,0.013000000000000097
gsm8k,vllm/g3-12i,constant,auarc,0.922
gsm8k,vllm/g3-12i,seq_response,auroc,0.65832359975527
gsm8k,vllm/g3-12i,seq_response,cal_brier,0.0686826683441588
gsm8k,vllm/g3-12i,seq_response,cal_ece,0.023650161440305625
gsm8k,vllm/g3-12i,seq_response,raw_ece,0.04042429091006151
gsm8k,vllm/g3-12i,seq_response,auarc,0.9521197671199519
gsm8k,vllm/g3-12i,seq_response_min,auroc,0.6865231659157907
gsm8k,vllm/g3-12i,seq_response_min,cal_brier,0.06792369410028855
gsm8k,vllm/g3-12i,seq_response_min,cal_ece,0.02910348397715263
gsm8k,vllm/g3-12i,seq_response_min,raw_ece,0.46622791973223005
gsm8k,vllm/g3-12i,seq_response_min,auarc,0.9571270038496488
gsm8k,vllm/g3-12i,seq_response_tail10,auroc,0.6636631625785638
gsm8k,vllm/g3-12i,seq_response_tail10,cal_brier,0.0684803906267323
gsm8k,vllm/g3-12i,seq_response_tail10,cal_ece,0.024214143511678953
gsm8k,vllm/g3-12i,seq_response_tail10,raw_ece,0.19939046438500452
gsm8k,vllm/g3-12i,seq_response_tail10,auarc,0.9529510172905095
gsm8k,vllm/g3-12i,verification,auroc,0.8648701262584126
gsm8k,vllm/g3-12i,verification,cal_brier,0.06187474452092516
gsm8k,vllm/g3-12i,verification,cal_ece,0.01715665758894259
gsm8k,vllm/g3-12i,verification,raw_ece,0.11092636592935681
gsm8k,vllm/g3-12i,verification,auarc,0.9818214115971685
gsm8k,vllm/g3-12i,verbalized,auroc,0.561877746259525
gsm8k,vllm/g3-12i,verbalized,cal_brier,0.0673629700637347
gsm8k,vllm/g3-12i,verbalized,cal_ece,0.0213386772443044
gsm8k,vllm/g3-12i,verbalized,raw_ece,0.07673333333333333
gsm8k,vllm/g3-12i,verbalized,auarc,0.9309578672513148
gsm8k,vllm/g3-12i,consistency_t0.7,auroc,0.856360198008788
gsm8k,vllm/g3-12i,consistency_t0.7,cal_brier,0.04192129169288796
gsm8k,vllm/g3-12i,consistency_t0.7,cal_ece,0.02455557830703927
gsm8k,vllm/g3-12i,consistency_t0.7,raw_ece,0.038
gsm8k,vllm/g3-12i,consistency_t0.7,auarc,0.9753930270359682
gsm8k,vllm/g3-12i,consistency_t0.7_margin,auroc,0.8410645753378942
gsm8k,vllm/g3-12i,consistency_t0.7_margin,cal_brier,0.045955655658338326
gsm8k,vllm/g3-12i,consistency_t0.7_margin,cal_ece,0.020034094230648832
gsm8k,vllm/g3-12i,consistency_t0.7_margin,raw_ece,0.0316
gsm8k,vllm/g3-12i,consistency_t0.7_margin,auarc,0.9732337346264253
gsm8k,vllm/g3-12i,consistency_t0.7_entropy,auroc,0.8417598309138439
gsm8k,vllm/g3-12i,consistency_t0.7_entropy,cal_brier,0.04403193261529379
gsm8k,vllm/g3-12i,consistency_t0.7_entropy,cal_ece,0.01583843916576102
gsm8k,vllm/g3-12i,consistency_t0.7_entropy,raw_ece,0.0358530931661363
gsm8k,vllm/g3-12i,consistency_t0.7_entropy,auarc,0.9732848874205109
gsm8k,vllm/l31-8bi,constant,auroc,nan
gsm8k,vllm/l31-8bi,constant,cal_brier,0.12050500000000001
